frequency,V(p001),V(vin),V(vout),I(C1),I(L1),I(R1),I(V1)
(28104.770477047707+0j),(-2.7023466382590467e-05-0.0002328133890549942j),(0.5-6.938893903907228e-18j),(0.006656841219473037+0.057264070251721505j),(0.009866863175610542-0.0011452814050344306j),(0.00986686317561054-0.0011452814050344306j),(0.00986686317561054-0.0011452814050344302j),(-0.009866863175610542+0.0011452814050344306j)
(28114.761476147618+0j),(-2.702328691249899e-05-0.00023272843737645287j),(0.5+0j),(0.006661542888235413+0.057284046684574465j),(0.009866769142235294-0.0011456809336914896j),(0.009866769142235292-0.0011456809336914894j),(0.009866769142235292-0.0011456809336914894j),(-0.009866769142235292+0.0011456809336914894j)
(28124.752475247526+0j),(-2.702310727110322e-05-0.0002326435453083315j),(0.5+0j),(0.006666246138549359+0.05730402248377612j),(0.009866675077229011-0.001146080449675522j),(0.009866675077229013-0.0011460804496755221j),(0.009866675077229013-0.0011460804496755224j),(-0.009866675077229013+0.0011460804496755224j)
(28134.743474347437+0j),(-2.7022927458528098e-05-0.00023255871278716903j),(0.5000000000000001+6.938893903907228e-18j),(0.006670950970321748+0.05732399764920428j),(0.009866580980593568-0.0011464799529840857j),(0.00986658098059357-0.0011464799529840857j),(0.009866580980593568-0.0011464799529840855j),(-0.009866580980593566+0.0011464799529840857j)
(28144.734473447348+0j),(-2.7022747474898204e-05-0.00023247393974959392j),(0.5+0j),(0.006675657383459387+0.05734397218073655j),(0.009866486852330813-0.001146879443614731j),(0.009866486852330813-0.001146879443614731j),(0.009866486852330813-0.001146879443614731j),(-0.009866486852330813+0.001146879443614731j)
(28154.725472547256+0j),(-2.7022567320338002e-05-0.00023238922613232521j),(0.5+0j),(0.0066803653778690734+0.05736394607825056j),(0.009866392692442617-0.001147278921565011j),(0.009866392692442617-0.001147278921565011j),(0.009866392692442619-0.0011472789215650112j),(-0.009866392692442619+0.0011472789215650112j)
(28164.716471647167+0j),(-2.7022386994971747e-05-0.00023230457187217135j),(0.5+0j),(0.006685074953457592+0.05738391934162389j),(0.009866298500930846-0.0011476783868324774j),(0.009866298500930848-0.0011476783868324776j),(0.009866298500930848-0.0011476783868324778j),(-0.00986629850093085+0.001147678386832478j)
(28174.70747074708+0j),(-2.702220649892348e-05-0.00023221997690603085j),(0.5000000000000001-6.938893903907228e-18j),(0.006689786110131672+0.05740389197073398j),(0.009866204277797368-0.0011480778394146794j),(0.00986620427779737-0.0011480778394146796j),(0.00986620427779737-0.0011480778394146796j),(-0.009866204277797368+0.0011480778394146794j)
(28184.698469846986+0j),(-2.702202583231697e-05-0.00023213544117089104j),(0.5+6.938893903907228e-18j),(0.006694498847798025+0.0574238639654582j),(0.009866110023044038-0.0011484772793091636j),(0.00986611002304404-0.0011484772793091639j),(0.00986611002304404-0.0011484772793091639j),(-0.00986611002304404+0.0011484772793091639j)
(28194.689468946897+0j),(-2.7021844995275876e-05-0.00023205096460382924j),(0.5-6.938893903907228e-18j),(0.006699213166363341+0.05744383532567391j),(0.009866015736672734-0.0011488767065134786j),(0.009866015736672732-0.0011488767065134784j),(0.009866015736672734-0.0011488767065134784j),(-0.009866015736672734+0.0011488767065134782j)
(28204.68046804681+0j),(-2.702166398792356e-05-0.00023196654714201158j),(0.49999999999999994+0j),(0.006703929065734271+0.057463806051258365j),(0.009865921418685315-0.0011492761210251674j),(0.009865921418685315-0.0011492761210251672j),(0.009865921418685314-0.0011492761210251674j),(-0.009865921418685315+0.0011492761210251674j)
(28214.671467146716+0j),(-2.7021482810383254e-05-0.0002318821887226934j),(0.5000000000000001+0j),(0.006708646545817448+0.05748377614208875j),(0.009865827069083653-0.0011496755228417753j),(0.009865827069083654-0.0011496755228417753j),(0.009865827069083654-0.001149675522841775j),(-0.009865827069083653+0.001149675522841775j)
(28224.662466246627+0j),(-2.7021301462777895e-05-0.00023179788928321857j),(0.5+0j),(0.006713365606519465+0.057503745598042166j),(0.009865732687869612-0.001150074911960843j),(0.00986573268786961-0.0011500749119608428j),(0.00986573268786961-0.0011500749119608433j),(-0.00986573268786961+0.0011500749119608433j)
(28234.653465346535+0j),(-2.70211199452303e-05-0.00023171364876101999j),(0.5+6.938893903907228e-18j),(0.006718086247746894+0.057523714418995654j),(0.009865638275045063-0.0011504742883799131j),(0.009865638275045061-0.001150474288379913j),(0.009865638275045063-0.001150474288379913j),(-0.009865638275045063+0.0011504742883799131j)
(28244.644464446446+0j),(-2.7020938257863034e-05-0.00023162946709361903j),(0.49999999999999994-6.938893903907228e-18j),(0.00672280846940628+0.0575436826048262j),(0.009865543830611872-0.001150873652096524j),(0.009865543830611872-0.0011508736520965243j),(0.009865543830611874-0.0011508736520965243j),(-0.009865543830611875+0.0011508736520965243j)
(28254.635463546358+0j),(-2.7020756400798454e-05-0.00023154534421862536j),(0.49999999999999994+0j),(0.006727532271404136+0.057563650155410734j),(0.009865449354571915-0.0011512730031082144j),(0.009865449354571915-0.0011512730031082146j),(0.009865449354571915-0.0011512730031082146j),(-0.009865449354571917+0.0011512730031082148j)
(28264.626462646265+0j),(-2.7020574374158748e-05-0.00023146128007373704j),(0.5+0j),(0.006732257653646949+0.05758361707062608j),(0.009865354846927061-0.0011516723414125216j),(0.009865354846927061-0.0011516723414125214j),(0.009865354846927061-0.0011516723414125216j),(-0.009865354846927061+0.0011516723414125216j)
(28274.617461746177+0j),(-2.7020392178065846e-05-0.00023137727459673996j),(0.5+0j),(0.006736984616041174+0.05760358335034898j),(0.009865260307679178-0.0011520716670069798j),(0.009865260307679178-0.0011520716670069798j),(0.009865260307679176-0.0011520716670069796j),(-0.009865260307679178+0.0011520716670069798j)
(28284.608460846088+0j),(-2.70202098126415e-05-0.00023129332772550806j),(0.49999999999999994+6.938893903907228e-18j),(0.006741713158493239+0.057623548994456146j),(0.009865165736830137-0.001152470979889123j),(0.009865165736830134-0.0011524709798891228j),(0.009865165736830134-0.0011524709798891228j),(-0.009865165736830135+0.0011524709798891228j)
(28294.599459945995+0j),(-2.7020027278007265e-05-0.00023120943939800294j),(0.5-6.938893903907228e-18j),(0.006746443280909553+0.05764351400282424j),(0.009865071134381807-0.0011528702800564848j),(0.009865071134381809-0.001152870280056485j),(0.009865071134381809-0.001152870280056485j),(-0.009865071134381809+0.0011528702800564848j)
(28304.590459045907+0j),(-2.7019844574284474e-05-0.0002311256095522741j),(0.5+6.938893903907228e-18j),(0.006751174983196478+0.05766347837532978j),(0.009864976500336069-0.0011532695675065955j),(0.00986497650033607-0.0011532695675065955j),(0.00986497650033607-0.0011532695675065955j),(-0.00986497650033607+0.0011532695675065955j)
(28314.581458145818+0j),(-2.701966170159428e-05-0.0002310418381264582j),(0.5+6.938893903907228e-18j),(0.006755908265260362+0.057683442111849274j),(0.009864881834694791-0.0011536688422369853j),(0.009864881834694793-0.0011536688422369855j),(0.009864881834694793-0.0011536688422369853j),(-0.009864881834694793+0.0011536688422369853j)
(28324.572457245726+0j),(-2.701947866005761e-05-0.0002309581250587793j),(0.49999999999999994+0j),(0.006760643127007518+0.057703405212259126j),(0.009864787137459847-0.0011540681042451822j),(0.009864787137459849-0.0011540681042451824j),(0.009864787137459849-0.0011540681042451826j),(-0.00986478713745985+0.0011540681042451826j)
(28334.563456345637+0j),(-2.7019295449795214e-05-0.0002308744702875486j),(0.5+0j),(0.006765379568344243+0.057723367676435745j),(0.009864692408633115-0.0011544673535287147j),(0.009864692408633116-0.001154467353528715j),(0.009864692408633116-0.001154467353528715j),(-0.009864692408633116+0.0011544673535287151j)
(28344.55445544555+0j),(-2.701911207092761e-05-0.00023079087375116428j),(0.49999999999999994+0j),(0.006770117589176789+0.05774332950425537j),(0.009864597648216464-0.0011548665900851073j),(0.009864597648216464-0.0011548665900851073j),(0.009864597648216464-0.0011548665900851073j),(-0.009864597648216464+0.0011548665900851076j)
(28354.545454545456+0j),(-2.7018928523575147e-05-0.0002307073353881114j),(0.5-6.938893903907228e-18j),(0.006774857189411391+0.05776329069559426j),(0.009864502856211776-0.0011552658139118853j),(0.009864502856211774-0.0011552658139118853j),(0.009864502856211772-0.0011552658139118853j),(-0.009864502856211772+0.0011552658139118853j)
(28364.536453645367+0j),(-2.701874480785791e-05-0.00023062385513696144j),(0.5-1.3877787807814457e-17j),(0.006779598368954242+0.057783251250328495j),(0.009864408032620915-0.0011556650250065703j),(0.009864408032620915-0.0011556650250065703j),(0.009864408032620915-0.0011556650250065701j),(-0.009864408032620918+0.0011556650250065701j)
(28374.52745274528+0j),(-2.7018560923895874e-05-0.00023054043293637308j),(0.5000000000000001+0j),(0.006784341127711527+0.05780321116833426j),(0.009864313177445776-0.0011560642233666854j),(0.009864313177445775-0.0011560642233666852j),(0.009864313177445771-0.0011560642233666852j),(-0.009864313177445771+0.0011560642233666852j)
(28384.518451845186+0j),(-2.7018376871808718e-05-0.00023045706872509028j),(0.49999999999999994+0j),(0.006789085465589383+0.05782317044948746j),(0.009864218290688209-0.0011564634089897493j),(0.00986421829068821-0.0011564634089897491j),(0.009864218290688212-0.0011564634089897493j),(-0.009864218290688212+0.0011564634089897493j)
(28394.509450945097+0j),(-2.7018192651716023e-05-0.00023037376244194457j),(0.49999999999999994+6.938893903907228e-18j),(0.006793831382493939+0.057843129093664146j),(0.00986412337235012-0.0011568625818732827j),(0.00986412337235012-0.0011568625818732829j),(0.00986412337235012-0.0011568625818732829j),(-0.009864123372350122+0.001156862581873283j)
(28404.500450045005+0j),(-2.701800826373709e-05-0.00023029051402585253j),(0.5+0j),(0.006798578878331273+0.05786308710074013j),(0.009864028422433372-0.0011572617420148024j),(0.009864028422433373-0.0011572617420148024j),(0.009864028422433375-0.0011572617420148026j),(-0.009864028422433375+0.0011572617420148026j)
(28414.491449144916+0j),(-2.7017823707991066e-05-0.00023020732341581706j),(0.5-6.938893903907228e-18j),(0.006803327953007457+0.057883044470591276j),(0.009863933440939849-0.0011576608894118255j),(0.00986393344093985-0.0011576608894118257j),(0.00986393344093985-0.0011576608894118257j),(-0.009863933440939852+0.001157660889411826j)
(28424.482448244828+0j),(-2.7017638984596852e-05-0.00023012419055092674j),(0.49999999999999994+1.3877787807814457e-17j),(0.006808078606428517+0.05790300120309331j),(0.009863838427871429-0.0011580600240618658j),(0.009863838427871427-0.0011580600240618658j),(0.009863838427871429-0.0011580600240618658j),(-0.009863838427871429+0.001158060024061866j)
(28434.473447344735+0j),(-2.7017454093673222e-05-0.00023004111537035593j),(0.5-6.938893903907228e-18j),(0.006812830838500462+0.057922957298121906j),(0.00986374338322999-0.0011584591459624385j),(0.00986374338322999-0.0011584591459624382j),(0.00986374338322999-0.0011584591459624382j),(-0.009863743383229992+0.0011584591459624385j)
(28444.464446444646+0j),(-2.7017269035338667e-05-0.0002299580978133642j),(0.5+6.938893903907228e-18j),(0.006817584649129263+0.05794291275555269j),(0.009863648307017416-0.0011588582551110538j),(0.009863648307017416-0.0011588582551110536j),(0.009863648307017416-0.0011588582551110536j),(-0.009863648307017416+0.001158858255111054j)
(28454.455445544558+0j),(-2.701708380971154e-05-0.0002298751378192966j),(0.5+0j),(0.006822340038220872+0.0579628675752612j),(0.009863553199235583-0.0011592573515052241j),(0.009863553199235582-0.001159257351505224j),(0.009863553199235583-0.0011592573515052241j),(-0.009863553199235585+0.0011592573515052244j)
(28464.446444644465+0j),(-2.701689841691001e-05-0.0002297922353275835j),(0.5000000000000001+0j),(0.006827097005681214+0.05798282175712295j),(0.00986345805988638-0.0011596564351424594j),(0.009863458059886377-0.001159656435142459j),(0.009863458059886377-0.001159656435142459j),(-0.009863458059886377+0.001159656435142459j)
(28474.437443744377+0j),(-2.7016712857051973e-05-0.0002297093902777399j),(0.5000000000000001-6.938893903907228e-18j),(0.00683185555141617+0.05800277530101331j),(0.00986336288897168-0.0011600555060202666j),(0.00986336288897168-0.0011600555060202664j),(0.009863362888971678-0.0011600555060202664j),(-0.009863362888971678+0.0011600555060202662j)
(28484.428442844288+0j),(-2.70165271302552e-05-0.00022962660260936605j),(0.5+6.938893903907228e-18j),(0.00683661567533161+0.05802272820680766j),(0.00986326768649337-0.0011604545641361532j),(0.009863267686493368-0.0011604545641361532j),(0.009863267686493368-0.001160454564136153j),(-0.00986326768649337+0.0011604545641361534j)
(28494.419441944196+0j),(-2.701634123663723e-05-0.00022954387226214665j),(0.5+6.938893903907228e-18j),(0.006841377377333366+0.05804268047438126j),(0.009863172452453332-0.0011608536094876252j),(0.009863172452453333-0.0011608536094876254j),(0.009863172452453333-0.0011608536094876252j),(-0.009863172452453335+0.0011608536094876254j)
(28504.410441044107+0j),(-2.701615517631542e-05-0.00022946119917585124j),(0.49999999999999994+6.938893903907228e-18j),(0.0068461406573272435+0.05806263210360933j),(0.009863077186853454-0.0011612526420721864j),(0.009863077186853452-0.0011612526420721866j),(0.009863077186853454-0.0011612526420721866j),(-0.009863077186853456+0.0011612526420721866j)
(28514.401440144018+0j),(-2.7015968949406968e-05-0.00022937858329033373j),(0.49999999999999994+6.938893903907228e-18j),(0.006850905515219031+0.05808258309436707j),(0.009862981889695619-0.0011616516618873412j),(0.009862981889695617-0.001161651661887341j),(0.009862981889695617-0.0011616516618873412j),(-0.009862981889695619+0.0011616516618873412j)
(28524.392439243926+0j),(-2.7015782556028816e-05-0.00022929602454553212j),(0.5+0j),(0.006855671950914473+0.05810253344652954j),(0.00986288656098171-0.0011620506689305906j),(0.00986288656098171-0.0011620506689305906j),(0.00986288656098171-0.0011620506689305908j),(-0.00986288656098171+0.0011620506689305908j)
(28534.383438343837+0j),(-2.7015595996297712e-05-0.00022921352288146854j),(0.49999999999999994+0j),(0.006860439964319287+0.05812248315997172j),(0.009862791200713613-0.0011624496631994345j),(0.009862791200713612-0.0011624496631994345j),(0.009862791200713613-0.0011624496631994345j),(-0.009862791200713615+0.0011624496631994345j)
(28544.37443744375+0j),(-2.701540927033026e-05-0.00022913107823824941j),(0.49999999999999994+6.938893903907228e-18j),(0.006865209555339176+0.05814243223456864j),(0.009862695808893216-0.0011628486446913725j),(0.009862695808893216-0.001162848644691373j),(0.009862695808893216-0.0011628486446913727j),(-0.009862695808893217+0.001162848644691373j)
(28554.365436543656+0j),(-2.7015222378242863e-05-0.00022904869055606478j),(0.49999999999999994+0j),(0.006869980723879803+0.058162380670195156j),(0.009862600385522403-0.0011632476134039033j),(0.009862600385522403-0.001163247613403903j),(0.009862600385522403-0.001163247613403903j),(-0.009862600385522405+0.0011632476134039033j)
(28564.356435643567+0j),(-2.7015035320151688e-05-0.0002289663597751884j),(0.5+0j),(0.006874753469846806+0.05818232846672611j),(0.009862504930603063-0.0011636465693345222j),(0.009862504930603063-0.0011636465693345222j),(0.009862504930603064-0.0011636465693345222j),(-0.009862504930603064+0.0011636465693345222j)
(28574.347434743475+0j),(-2.7014848096172736e-05-0.0002288840858359776j),(0.5000000000000001+6.938893903907228e-18j),(0.006879527793145792+0.05820227562403626j),(0.009862409444137087-0.001164045512480725j),(0.009862409444137087-0.001164045512480725j),(0.009862409444137087-0.001164045512480725j),(-0.009862409444137086+0.0011640455124807252j)
(28584.338433843386+0j),(-2.7014660706421813e-05-0.00022880186867887291j),(0.5+0j),(0.00688430369368234+0.058222222142000256j),(0.009862313926126352-0.0011644444428400053j),(0.009862313926126354-0.0011644444428400055j),(0.009862313926126354-0.001164444442840005j),(-0.009862313926126354+0.001164444442840005j)
(28594.329432943297+0j),(-2.7014473151014543e-05-0.00022871970824439857j),(0.5000000000000001+0j),(0.00688908117136201+0.05824216802049282j),(0.009862218376572763-0.0011648433604098563j),(0.009862218376572762-0.0011648433604098563j),(0.009862218376572763-0.0011648433604098565j),(-0.009862218376572762+0.0011648433604098563j)
(28604.320432043205+0j),(-2.7014285430066365e-05-0.0002286376044731616j),(0.49999999999999994+0j),(0.00689386022609032+0.05826211325938844j),(0.009862122795478196-0.001165242265187769j),(0.009862122795478193-0.0011652422651877688j),(0.009862122795478193-0.0011652422651877688j),(-0.009862122795478193+0.0011652422651877692j)
(28614.311431143116+0j),(-2.701409754369248e-05-0.00022855555730585175j),(0.5-6.938893903907228e-18j),(0.006898640857772775+0.05828205785856169j),(0.009862027182844544-0.0011656411571712337j),(0.009862027182844544-0.0011656411571712337j),(0.009862027182844546-0.001165641157171234j),(-0.009862027182844546+0.0011656411571712342j)
(28624.302430243028+0j),(-2.701390949200796e-05-0.00022847356668324214j),(0.5-6.938893903907228e-18j),(0.006903423066314841+0.05830200181788699j),(0.009861931538673702-0.00116604003635774j),(0.009861931538673704-0.0011660400363577403j),(0.009861931538673704-0.00116604003635774j),(-0.009861931538673704+0.00116604003635774j)
(28634.293429342935+0j),(-2.701372127512764e-05-0.00022839163254618843j),(0.5+6.938893903907228e-18j),(0.006908206851621946+0.058321945137238686j),(0.009861835862967561-0.0011664389027447736j),(0.009861835862967561-0.0011664389027447736j),(0.009861835862967561-0.0011664389027447736j),(-0.009861835862967561+0.0011664389027447738j)
(28644.284428442847+0j),(-2.701353289316621e-05-0.0002283097548356284j),(0.5+0j),(0.006912992213599525+0.05834188781649116j),(0.00986174015572801-0.0011668377563298232j),(0.00986174015572801-0.0011668377563298234j),(0.00986174015572801-0.0011668377563298232j),(-0.00986174015572801+0.0011668377563298232j)
(28654.275427542758+0j),(-2.7013344346238136e-05-0.0002282279334925827j),(0.5+0j),(0.006917779152152948+0.058361829855518625j),(0.00986164441695694-0.0011672365971103725j),(0.00986164441695694-0.0011672365971103725j),(0.00986164441695694-0.0011672365971103725j),(-0.009861644416956942+0.0011672365971103727j)
(28664.266426642665+0j),(-2.7013155634457647e-05-0.00022814616845815368j),(0.49999999999999994+0j),(0.006922567667187564+0.05838177125419524j),(0.009861548646656245-0.0011676354250839045j),(0.009861548646656247-0.0011676354250839045j),(0.009861548646656247-0.001167635425083905j),(-0.009861548646656249+0.001167635425083905j)
(28674.257425742577+0j),(-2.7012966757938946e-05-0.00022806445967352672j),(0.49999999999999994+6.938893903907228e-18j),(0.00692735775860872+0.058401712012395204j),(0.009861452844827825-0.001168034240247904j),(0.009861452844827827-0.0011680342402479041j),(0.009861452844827825-0.001168034240247904j),(-0.009861452844827825+0.0011680342402479043j)
(28684.248424842488+0j),(-2.7012777716795882e-05-0.00022798280707996812j),(0.5-6.938893903907228e-18j),(0.0069321494263217065+0.058421652129992535j),(0.009861357011473566-0.001168433042599851j),(0.009861357011473566-0.001168433042599851j),(0.009861357011473566-0.001168433042599851j),(-0.009861357011473566+0.0011684330425998507j)
(28694.239423942396+0j),(-2.701258851114216e-05-0.00022790121061882652j),(0.5-6.938893903907228e-18j),(0.006936942670231786+0.058441591606861215j),(0.009861261146595362-0.0011688318321372245j),(0.009861261146595362-0.0011688318321372243j),(0.009861261146595366-0.0011688318321372245j),(-0.009861261146595366+0.0011688318321372245j)
(28704.230423042307+0j),(-2.7012399141091352e-05-0.00022781967023153228j),(0.5+0j),(0.006941737490244212+0.05846153044287522j),(0.009861165250195116-0.0011692306088575046j),(0.009861165250195116-0.0011692306088575046j),(0.009861165250195116-0.0011692306088575044j),(-0.009861165250195116+0.0011692306088575044j)
(28714.22142214222+0j),(-2.7012209606756785e-05-0.00022773818585959703j),(0.5+0j),(0.0069465338862642004+0.05848146863790843j),(0.009861069322274717-0.0011696293727581687j),(0.009861069322274716-0.0011696293727581685j),(0.009861069322274716-0.0011696293727581687j),(-0.009861069322274717+0.0011696293727581689j)
(28724.212421242126+0j),(-2.7012019908251637e-05-0.00022765675744461407j),(0.5+0j),(0.006951331858196932+0.058501406191834616j),(0.00986097336283606-0.0011700281238366925j),(0.00986097336283606-0.0011700281238366922j),(0.009860973362836062-0.0011700281238366925j),(-0.009860973362836062+0.0011700281238366925j)
(28734.203420342037+0j),(-2.7011830045688852e-05-0.00022757538492825758j),(0.5+6.938893903907228e-18j),(0.006956131405947569+0.058521343104527564j),(0.009860877371881047-0.0011704268620905509j),(0.009860877371881047-0.001170426862090551j),(0.009860877371881049-0.001170426862090551j),(-0.009860877371881049+0.0011704268620905513j)
(28744.194419441945+0j),(-2.7011640019181254e-05-0.00022749406825228326j),(0.5+0j),(0.006960932529421241+0.058541279375860934j),(0.009860781349411573-0.0011708255875172188j),(0.009860781349411575-0.0011708255875172188j),(0.009860781349411575-0.0011708255875172188j),(-0.009860781349411575+0.0011708255875172188j)
(28754.185418541856+0j),(-2.7011449828841435e-05-0.00022741280735852752j),(0.5+0j),(0.006965735228523054+0.05856121500570839j),(0.00986068529542954-0.001171224300114168j),(0.00986068529542954-0.0011712243001141677j),(0.00986068529542954-0.001171224300114168j),(-0.00986068529542954+0.001171224300114168j)
(28764.176417641767+0j),(-2.701125947478182e-05-0.0002273316021889076j),(0.49999999999999994+0j),(0.006970539503158082+0.05858114999394348j),(0.009860589209936838-0.00117162299987887j),(0.009860589209936836-0.0011716229998788698j),(0.009860589209936838-0.0011716229998788696j),(-0.009860589209936838+0.0011716229998788698j)
(28774.167416741675+0j),(-2.7011068957114632e-05-0.00022725045268542159j),(0.5000000000000001-6.938893903907228e-18j),(0.006975345353231368+0.058601084340439716j),(0.009860493092935376-0.0011720216868087946j),(0.009860493092935376-0.0011720216868087946j),(0.009860493092935376-0.0011720216868087944j),(-0.009860493092935374+0.0011720216868087944j)
(28784.158415841586+0j),(-2.7010878275951912e-05-0.0002271693587901478j),(0.5+0j),(0.006980152778647928+0.05862101804507051j),(0.009860396944427042-0.00117242036090141j),(0.00986039694442704-0.00117242036090141j),(0.009860396944427042-0.00117242036090141j),(-0.009860396944427044+0.0011724203609014105j)
(28794.149414941498+0j),(-2.7010687431405552e-05-0.0002270883204452453j),(0.5+0j),(0.00698496177931276+0.05864095110770927j),(0.009860300764413745-0.0011728190221541852j),(0.009860300764413747-0.0011728190221541852j),(0.009860300764413745-0.0011728190221541855j),(-0.009860300764413747+0.0011728190221541857j)
(28804.140414041405+0j),(-2.7010496423587225e-05-0.00022700733759295334j),(0.5000000000000001+0j),(0.006989772355130821+0.05866088352822931j),(0.009860204552897385-0.0011732176705645861j),(0.009860204552897385-0.0011732176705645861j),(0.009860204552897387-0.0011732176705645863j),(-0.009860204552897385+0.0011732176705645861j)
(28814.131413141316+0j),(-2.701030525260843e-05-0.00022692641017559105j),(0.49999999999999994+6.938893903907228e-18j),(0.0069945845060070426+0.05868081530650387j),(0.009860108309879859-0.0011736163061300774j),(0.009860108309879859-0.0011736163061300774j),(0.009860108309879859-0.0011736163061300772j),(-0.009860108309879859+0.0011736163061300774j)
(28824.122412241228+0j),(-2.7010113918580492e-05-0.0002268455381355578j),(0.49999999999999994+0j),(0.006999398231846343+0.0587007464424062j),(0.009860012035363071-0.0011740149288481238j),(0.009860012035363071-0.001174014928848124j),(0.009860012035363071-0.001174014928848124j),(-0.009860012035363073+0.0011740149288481244j)
(28834.113411341135+0j),(-2.700992242161454e-05-0.00022676472141533287j),(0.5+6.938893903907228e-18j),(0.007004213532553584+0.05872067693580939j),(0.009859915729348929-0.0011744135387161876j),(0.009859915729348929-0.0011744135387161876j),(0.009859915729348929-0.0011744135387161876j),(-0.009859915729348929+0.0011744135387161876j)
(28844.104410441047+0j),(-2.7009730761821533e-05-0.0002266839599574749j),(0.5+0j),(0.0070090304080336245+0.05874060678658652j),(0.009859819391839327-0.0011748121357317304j),(0.009859819391839327-0.0011748121357317307j),(0.009859819391839327-0.0011748121357317304j),(-0.009859819391839327+0.0011748121357317304j)
(28854.095409540958+0j),(-2.700953893931223e-05-0.0002266032537046224j),(0.49999999999999994+0j),(0.00701384885819128+0.058760535994610605j),(0.009859723022836175-0.0011752107198922123j),(0.009859723022836175-0.0011752107198922121j),(0.009859723022836173-0.0011752107198922121j),(-0.009859723022836175+0.0011752107198922123j)
(28864.086408640866+0j),(-2.700934695419725e-05-0.00022652260259949328j),(0.5+0j),(0.007018668882931356+0.05878046455975465j),(0.009859626622341371-0.0011756092911950932j),(0.009859626622341373-0.001175609291195093j),(0.009859626622341373-0.001175609291195093j),(-0.009859626622341374+0.0011756092911950932j)
(28874.077407740777+0j),(-2.7009154806586975e-05-0.00022644200658488459j),(0.5-6.938893903907228e-18j),(0.007023490482158608+0.05880039248189149j),(0.009859530190356828-0.00117600784963783j),(0.009859530190356828-0.0011760078496378303j),(0.009859530190356828-0.00117600784963783j),(-0.009859530190356828+0.00117600784963783j)
(28884.068406840688+0j),(-2.7008962496591644e-05-0.0002263614656036728j),(0.5000000000000001+6.938893903907228e-18j),(0.007028313655777771+0.058820319760894j),(0.009859433726884448-0.00117640639521788j),(0.00985943372688445-0.0011764063952178802j),(0.009859433726884448-0.00117640639521788j),(-0.009859433726884446+0.00117640639521788j)
(28894.059405940596+0j),(-2.7008770024321303e-05-0.00022628097959881296j),(0.49999999999999994+0j),(0.0070331384036935556+0.0588402463966349j),(0.009859337231926129-0.001176804927932698j),(0.009859337231926127-0.0011768049279326977j),(0.009859337231926127-0.001176804927932698j),(-0.009859337231926129+0.0011768049279326982j)
(28904.050405040507+0j),(-2.700857738988584e-05-0.00022620054851333956j),(0.5+0j),(0.007037964725810654+0.058860172388986984j),(0.009859240705483788-0.0011772034477797394j),(0.009859240705483788-0.0011772034477797396j),(0.009859240705483788-0.0011772034477797396j),(-0.00985924070548379+0.0011772034477797399j)
(28914.041404140415+0j),(-2.700838459339494e-05-0.00022612017229036547j),(0.5+0j),(0.007042792622033705+0.05888009773782284j),(0.009859144147559328-0.001177601954756457j),(0.009859144147559326-0.0011776019547564567j),(0.009859144147559326-0.0011776019547564567j),(-0.009859144147559326+0.0011776019547564567j)
(28924.032403240326+0j),(-2.7008191634958115e-05-0.00022603985087308226j),(0.5+0j),(0.0070476220922673465+0.05890002244301512j),(0.009859047558154654-0.0011780004488603025j),(0.009859047558154654-0.0011780004488603027j),(0.009859047558154654-0.0011780004488603025j),(-0.009859047558154654+0.0011780004488603025j)
(28934.023402340237+0j),(-2.700799851468467e-05-0.00022595958420475987j),(0.49999999999999994+0j),(0.007052453136416162+0.05891994650443631j),(0.009858950937271675-0.001178398930088726j),(0.009858950937271677-0.0011783989300887263j),(0.009858950937271675-0.0011783989300887263j),(-0.009858950937271677+0.0011783989300887265j)
(28944.014401440145+0j),(-2.7007805232683823e-05-0.00022587937222874697j),(0.5+0j),(0.007057285754384737+0.05893986992195895j),(0.009858854284912306-0.001178797398439179j),(0.009858854284912306-0.001178797398439179j),(0.009858854284912306-0.001178797398439179j),(-0.009858854284912306+0.0011787973984391789j)
(28954.005400540056+0j),(-2.7007611789064505e-05-0.00022579921488846997j),(0.5-6.938893903907228e-18j),(0.007062119946077598+0.058959792695455406j),(0.009858757601078447-0.0011791958539091082j),(0.009858757601078447-0.0011791958539091082j),(0.009858757601078448-0.0011791958539091082j),(-0.009858757601078448+0.0011791958539091082j)
(28963.996399639967+0j),(-2.7007418183935516e-05-0.00022571911212743357j),(0.5+0j),(0.007066955711399263+0.058979714824798066j),(0.009858660885772015-0.001179594296495961j),(0.009858660885772016-0.001179594296495961j),(0.009858660885772015-0.0011795942964959614j),(-0.009858660885772015+0.0011795942964959614j)
(28973.987398739875+0j),(-2.7007224417405517e-05-0.0002256390638892204j),(0.5-6.938893903907228e-18j),(0.007071793050254219+0.05899963630985921j),(0.009858564138994916-0.0011799927261971846j),(0.009858564138994916-0.0011799927261971846j),(0.009858564138994915-0.0011799927261971844j),(-0.009858564138994918+0.0011799927261971844j)
(28983.978397839786+0j),(-2.7007030489582915e-05-0.0002255590701174909j),(0.5+6.938893903907228e-18j),(0.0070766319625469205+0.05901955715051111j),(0.009858467360749062-0.0011803911430102222j),(0.009858467360749062-0.0011803911430102224j),(0.009858467360749062-0.0011803911430102222j),(-0.009858467360749062+0.001180391143010222j)
